 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,264.676,199.634,0,1.571,1.418,2.529,5.015,10.821,1.000
2,1,1,264.612,199.351,0,1.408,1.320,2.244,4.303,9.117,1.000
3,1,2,265.693,200.031,0,1.290,1.309,2.235,4.338,9.376,1.000
4,1,3,265.509,199.748,0,1.696,1.427,2.527,4.991,10.779,1.000
5,1,4,265.874,200.434,0,1.605,1.386,2.418,4.679,9.833,1.000
6,2,9,264.343,199.488,0,1.518,1.340,2.292,4.386,9.221,1.000
7,2,10,264.488,199.626,0,1.478,1.425,2.587,5.236,11.527,1.000
8,3,20,232.884,207.147,0,2.090,1.531,2.910,6.119,13.886,0.500
9,3,21,232.653,206.491,0,1.813,1.516,2.864,5.985,13.491,0.333
10,3,22,233.476,206.048,0,1.873,1.506,2.810,5.797,12.912,0.338
11,4,21,298.603,195.280,0,1.546,1.284,2.113,3.883,7.847,0.338
12,4,22,298.623,195.016,0,1.868,1.420,2.520,4.949,10.535,0.338
13,4,23,297.855,194.176,0,1.389,1.320,2.248,4.287,8.985,0.579
14,4,24,298.354,194.545,0,2.356,1.275,2.065,3.689,7.144,1.000
15,4,25,298.106,194.794,0,2.450,1.455,2.671,5.467,12.181,0.500
16,4,26,297.871,194.349,0,2.444,1.402,2.473,4.845,10.314,0.333
17,4,27,298.314,194.732,0,1.884,1.345,2.321,4.473,9.436,0.250
18,4,28,297.405,194.448,0,2.007,1.348,2.366,4.730,10.531,1.000
19,5,25,232.867,205.758,0,1.728,1.324,2.183,3.938,7.628,0.500
20,5,26,233.003,205.582,0,1.545,1.359,2.368,4.624,9.903,0.389
21,5,27,233.431,205.726,0,2.254,1.503,2.836,5.949,13.515,0.250
22,6,29,232.820,205.241,0,2.136,1.566,3.056,6.625,15.522,1.000
23,6,30,233.941,206.244,0,1.436,1.463,2.802,6.080,14.452,0.505
24,7,33,298.397,131.257,0,1.632,1.347,2.327,4.537,9.785,0.500
25,7,34,297.945,131.814,0,1.623,1.416,2.558,5.175,11.435,0.494
26,7,35,297.941,132.233,0,1.651,1.306,2.174,4.027,8.151,1.000
27,7,36,297.283,132.799,0,1.949,1.348,2.291,4.326,8.906,0.232
28,7,37,297.448,132.155,0,2.093,1.382,2.424,4.729,10.036,0.250
29,7,38,297.832,132.067,0,2.218,1.478,2.714,5.480,11.889,0.926
30,7,39,297.357,132.399,0,1.805,1.224,1.906,3.249,5.966,0.200
31,7,40,297.385,132.321,0,2.402,1.429,2.521,4.887,10.191,0.200
32,8,33,287.329,168.369,0,2.011,1.418,2.484,4.767,9.797,0.500
