 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,413.282,11.785,0,1.307,1.618,3.267,7.310,17.628,0.037
2,1,1,413.465,12.584,0,1.369,1.628,3.249,7.108,16.632,0.028
3,1,2,412.398,12.869,0,1.409,1.479,2.731,5.566,12.225,0.061
4,2,0,213.181,116.922,0,1.546,1.457,2.647,5.306,11.462,0.052
5,2,1,213.485,116.719,0,2.336,1.323,2.221,4.136,8.378,0.018
6,2,2,213.443,116.582,0,2.218,1.397,2.437,4.686,9.732,0.016
7,2,3,213.833,117.646,0,1.359,1.370,2.406,4.742,10.262,0.159
8,2,4,213.352,117.047,0,0.733,1.250,2.085,3.919,8.136,0.021
9,2,5,213.039,116.603,0,1.525,1.473,2.713,5.505,12.018,0.036
10,2,6,212.914,116.148,0,2.004,1.368,2.387,4.648,9.890,0.034
11,2,7,213.289,115.993,0,1.372,1.432,2.606,5.261,11.492,0.079
12,2,8,213.276,115.888,0,1.639,1.350,2.279,4.221,8.417,0.056
13,2,9,213.501,116.076,0,1.387,1.472,2.718,5.606,12.577,0.093
14,2,10,213.441,116.322,0,1.914,1.321,2.230,4.187,8.564,0.030
15,2,11,213.404,116.998,0,1.540,1.325,2.229,4.134,8.275,0.065
16,2,12,213.541,117.628,0,1.902,1.344,2.251,4.166,8.368,0.099
17,3,0,101.481,127.804,0,1.226,1.234,1.964,3.538,7.141,0.038
18,3,1,101.371,127.365,0,1.173,1.317,2.183,4.012,8.030,0.097
19,3,2,100.888,127.633,0,1.493,1.422,2.551,5.089,11.041,0.078
20,3,3,101.181,127.826,0,1.302,1.448,2.614,5.242,11.428,0.110
21,4,0,144.270,131.635,0,2.253,1.518,2.833,5.818,12.848,0.016
22,4,1,144.082,131.221,0,1.472,1.532,2.980,6.457,15.135,0.042
23,4,2,143.628,131.754,0,1.841,1.323,2.189,3.995,7.907,0.077
24,4,3,143.806,131.503,0,1.494,1.475,2.754,5.761,13.151,0.069
25,4,4,144.383,132.416,0,1.422,1.506,2.845,5.994,13.723,0.050
26,5,0,116.329,133.115,0,1.882,1.302,2.131,3.831,7.422,0.031
27,5,1,115.768,132.976,0,1.368,1.332,2.278,4.360,9.137,0.108
28,5,2,115.567,132.855,0,0.745,1.259,2.142,4.122,8.766,0.029
29,5,3,115.528,133.283,0,1.175,1.268,2.023,3.604,7.086,0.051
30,6,0,107.209,134.387,0,1.319,1.301,2.123,3.796,7.291,0.059
31,6,1,107.745,134.588,0,1.566,1.327,2.221,4.113,8.283,0.036
32,6,2,107.974,134.186,0,0.985,1.357,2.329,4.434,9.178,0.095
33,7,0,119.413,150.664,0,1.869,1.528,2.884,6.000,13.436,0.021
34,7,1,117.931,150.348,0,1.965,1.413,2.500,4.898,10.396,0.029
35,7,2,122.162,150.446,0,1.417,1.428,2.569,5.155,11.283,0.093
36,7,3,120.421,150.114,0,1.553,1.567,3.071,6.696,15.805,0.021
37,7,4,121.520,150.140,0,1.609,1.502,2.802,5.802,13.016,0.027
38,7,5,120.176,149.930,0,1.801,1.661,3.372,7.514,17.907,0.017
39,7,6,119.789,150.081,0,2.065,1.620,3.243,7.158,16.964,0.015
40,7,7,118.869,150.364,0,1.335,1.548,3.038,6.619,15.565,0.022
41,7,8,119.475,150.307,0,1.489,1.625,3.241,7.109,16.722,0.022
42,7,9,120.083,149.652,0,1.625,1.610,3.147,6.771,15.650,0.033
43,7,10,119.668,150.599,0,1.596,1.590,3.087,6.609,15.230,0.026
44,7,11,120.233,149.791,0,1.478,1.350,2.299,4.373,9.118,0.071
45,7,12,119.488,151.513,0,1.123,1.385,2.449,4.853,10.531,0.099
46,7,13,119.820,152.144,0,1.368,1.471,2.731,5.651,12.706,0.049
47,7,14,119.741,150.706,0,1.716,1.481,2.757,5.724,12.928,0.039
48,7,15,120.637,150.286,0,1.795,1.565,3.013,6.409,14.696,0.026
49,8,0,220.361,151.509,0,0.907,1.315,2.280,4.486,9.775,0.096
50,8,1,220.567,151.633,0,1.271,1.398,2.534,5.221,11.902,0.104
51,9,0,227.462,161.891,0,2.215,1.280,2.049,3.587,6.735,0.016
52,9,1,227.229,161.163,0,2.193,1.368,2.353,4.488,9.299,0.018
53,9,2,227.076,160.733,0,1.931,1.369,2.348,4.445,9.107,0.081
54,9,3,226.800,160.702,0,2.110,1.303,2.158,3.946,7.821,0.023
55,9,4,227.180,161.090,0,1.232,1.395,2.449,4.750,9.958,0.093
56,9,5,227.594,161.047,0,1.661,1.322,2.199,4.032,7.996,0.075
57,9,6,227.412,161.459,0,1.864,1.304,2.118,3.760,7.158,0.019
58,9,7,227.311,160.934,0,1.644,1.378,2.423,4.760,10.211,0.048
59,9,8,227.143,161.441,0,1.792,1.298,2.109,3.772,7.305,0.035
60,9,9,227.238,161.684,0,1.596,1.291,2.112,3.816,7.484,0.024
61,9,10,227.501,161.268,0,1.658,1.196,1.808,3.000,5.402,0.018
